,acceleration,SPEED,Frequency
502,-1.9,22.0,1.4204141927786142e-05
503,-1.9,23.0,1.704497031334337e-05
504,-1.9,24.0,1.4204141927786142e-05
505,-1.9,25.0,1.4204141927786142e-05
506,-1.9,26.0,2.8408283855572283e-05
507,-1.9,27.0,1.4204141927786142e-05
508,-1.9,28.0,1.1363313542228914e-05
509,-1.9,29.0,8.522485156671685e-06
510,-1.9,30.0,1.1363313542228914e-05
511,-1.9,31.0,5.681656771114457e-06
512,-1.9,32.0,1.4204141927786142e-05
513,-1.9,33.0,8.522485156671685e-06
514,-1.9,34.0,2.272662708445783e-05
515,-1.9,35.0,1.1363313542228914e-05
516,-1.9,36.0,8.522485156671685e-06
517,-1.9,37.0,2.8408283855572286e-06
518,-1.9,38.0,1.1363313542228914e-05
519,-1.9,39.0,1.4204141927786142e-05
520,-1.9,41.0,1.1363313542228914e-05
521,-1.9,42.0,5.681656771114457e-06
522,-1.9,43.0,2.8408283855572286e-06
523,-1.9,44.0,1.1363313542228914e-05
524,-1.9,45.0,5.681656771114457e-06
525,-1.9,46.0,5.681656771114457e-06
526,-1.9,47.0,5.681656771114457e-06
527,-1.9,48.0,8.522485156671685e-06
528,-1.9,49.0,2.8408283855572286e-06
529,-1.9,51.0,2.8408283855572286e-06
530,-1.9,52.0,2.8408283855572286e-06
531,-1.9,55.0,2.8408283855572286e-06
532,-1.9,60.0,2.8408283855572286e-06
533,-1.9,66.0,2.8408283855572286e-06
534,-1.9,69.0,5.681656771114457e-06
535,-1.8,1.0,2.272662708445783e-05
536,-1.8,2.0,7.670236641004517e-05
537,-1.8,3.0,1.98857986989006e-05
538,-1.8,4.0,2.8408283855572286e-06
539,-1.8,5.0,1.4204141927786142e-05
540,-1.8,6.0,2.8408283855572283e-05
541,-1.8,7.0,2.272662708445783e-05
542,-1.8,8.0,1.704497031334337e-05
543,-1.8,9.0,5.681656771114457e-06
544,-1.8,10.0,1.1363313542228914e-05
545,-1.8,11.0,1.704497031334337e-05
546,-1.8,12.0,2.8408283855572286e-06
547,-1.8,13.0,5.681656771114457e-06
548,-1.8,14.0,2.272662708445783e-05
549,-1.8,15.0,1.704497031334337e-05
550,-1.8,16.0,3.408994062668674e-05
551,-1.8,17.0,1.1363313542228914e-05
552,-1.8,18.0,5.1134910940030115e-05
553,-1.8,19.0,3.693076901224397e-05
554,-1.8,20.0,1.704497031334337e-05
555,-1.8,21.0,8.522485156671685e-06
556,-1.8,22.0,2.5567455470015058e-05
557,-1.8,23.0,2.8408283855572283e-05
558,-1.8,24.0,2.8408283855572283e-05
559,-1.8,25.0,3.408994062668674e-05
560,-1.8,26.0,2.272662708445783e-05
561,-1.8,27.0,2.5567455470015058e-05
562,-1.8,28.0,1.1363313542228914e-05
563,-1.8,29.0,1.98857986989006e-05
564,-1.8,30.0,1.4204141927786142e-05
565,-1.8,31.0,1.704497031334337e-05
566,-1.8,32.0,3.1249112241129516e-05
567,-1.8,33.0,1.4204141927786142e-05
568,-1.8,34.0,8.522485156671685e-06
569,-1.8,35.0,5.681656771114457e-06
570,-1.8,36.0,5.681656771114457e-06
571,-1.8,37.0,5.681656771114457e-06
572,-1.8,38.0,2.8408283855572286e-06
573,-1.8,40.0,1.1363313542228914e-05
574,-1.8,41.0,5.681656771114457e-06
575,-1.8,42.0,5.681656771114457e-06
576,-1.8,44.0,5.681656771114457e-06
577,-1.8,45.0,5.681656771114457e-06
578,-1.8,46.0,5.681656771114457e-06
579,-1.8,48.0,5.681656771114457e-06
580,-1.8,49.0,2.8408283855572286e-06
581,-1.8,50.0,5.681656771114457e-06
582,-1.8,51.0,5.681656771114457e-06
583,-1.8,54.0,2.8408283855572286e-06
584,-1.8,63.0,2.8408283855572286e-06
585,-1.8,70.0,2.8408283855572286e-06
586,-1.7,1.0,1.98857986989006e-05
587,-1.7,2.0,3.97715973978012e-05
588,-1.7,3.0,2.8408283855572283e-05
589,-1.7,4.0,5.681656771114457e-06
590,-1.7,5.0,8.522485156671685e-06
591,-1.7,6.0,1.1363313542228914e-05
592,-1.7,7.0,1.4204141927786142e-05
593,-1.7,8.0,1.4204141927786142e-05
594,-1.7,9.0,1.704497031334337e-05
595,-1.7,10.0,8.522485156671685e-06
596,-1.7,11.0,5.681656771114457e-06
597,-1.7,12.0,1.1363313542228914e-05
598,-1.7,13.0,1.1363313542228914e-05
599,-1.7,14.0,1.98857986989006e-05
600,-1.7,15.0,8.522485156671685e-06
601,-1.7,16.0,2.272662708445783e-05
602,-1.7,17.0,2.8408283855572283e-05
603,-1.7,18.0,3.1249112241129516e-05
604,-1.7,19.0,4.2612425783358425e-05
605,-1.7,20.0,1.4204141927786142e-05
606,-1.7,21.0,2.5567455470015058e-05
607,-1.7,22.0,2.5567455470015058e-05
608,-1.7,23.0,2.272662708445783e-05
609,-1.7,24.0,1.1363313542228914e-05
610,-1.7,25.0,1.704497031334337e-05
611,-1.7,26.0,3.97715973978012e-05
612,-1.7,27.0,1.704497031334337e-05
613,-1.7,28.0,4.545325416891566e-05
614,-1.7,29.0,2.272662708445783e-05
615,-1.7,30.0,2.8408283855572283e-05
